Tipo_aviso;Estado;Prioridad;Incidente;Estructura;Creacion;Inicio;Cierre;Serie;Norte;Este;Depto;Municipio;Vereda;Cia
VEGETACIÓN;INIC ENPT GEAM PRER;Dos años;2403092;19891964;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00;1732;1076990,51;1073650,261;BOYACÁ;TIBANA;MANGLES;Zen
VEGETACIÓN;INIC ENPT GEAM PRER;Dos años;2403092;19891964;2018-06-27 00:00:00;2018-07-07 00:00:00;1970-01-01 00:00:00;1732;1076990,51;1073650,261;BOYACÁ;TIBANA;MANGLES;Zen
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403091;19891964;2018-06-27 00:00:00;2018-07-18 00:00:00;1970-01-01 00:00:00;1732;1076990,51;1073650,261;BOYACÁ;TIBANA;MANGLES;Zen
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403091;19891964;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00;1732;1076990,51;1073650,261;BOYACÁ;TIBANA;MANGLES;Zen
VEGETACIÓN;INIC ENPT GEAM TAMB;Dos años;2403090;19891964;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00;1732;1076990,51;1073650,261;BOYACÁ;TIBANA;MANGLES;Zen
VEGETACIÓN;INIC ENPT GEAM TAMB;Dos años;2403090;19891964;2018-06-27 00:00:00;2018-08-10 00:00:00;1970-01-01 00:00:00;1732;1076990,51;1073650,261;BOYACÁ;TIBANA;MANGLES;Zen
VEGETACIÓN;INIC ENPT GERE;Trimestre;2995047;19891964;2013-08-16 00:00:00;2013-08-16 00:00:00;2015-03-20 00:00:00;1732;1076990,51;1073650,261;BOYACÁ;TIBANA;MANGLES;Zen
VEGETACIÓN;INIC ENPT GERE;Trimestre;2848467;19891964;2014-03-01 00:00:00;2014-03-01 00:00:00;2015-03-20 00:00:00;1732;1076990,51;1073650,261;BOYACÁ;TIBANA;MANGLES;Zen
VEGETACIÓN;INIC ENPT GERE;Año;2848464;19891964;2014-03-01 00:00:00;2014-03-01 00:00:00;2015-03-20 00:00:00;1732;1076990,51;1073650,261;BOYACÁ;TIBANA;MANGLES;Zen
VEGETACIÓN;PLAN COND ENPT GERE;Semestre;2564742;19891964;2014-09-20 00:00:00;2014-09-20 00:00:00;2015-03-20 00:00:00;1732;1076990,51;1073650,261;BOYACÁ;TIBANA;MANGLES;Zen
VEGETACIÓN;INIC ENPT GERE;Año;2564741;19891964;2014-09-20 00:00:00;2014-09-20 00:00:00;2015-03-20 00:00:00;1732;1076990,51;1073650,261;BOYACÁ;TIBANA;MANGLES;Zen
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403093;19891957;2018-06-27 00:00:00;2018-07-07 00:00:00;1970-01-01 00:00:00;1739;1080249,991;1075016,042;BOYACÁ;TIBANA;SIRAMA;Zen
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403093;19891957;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00;1739;1080249,991;1075016,042;BOYACÁ;TIBANA;SIRAMA;Zen
VEGETACIÓN;INIC ENPT GEAM REAN;Año;2525034;19891957;2015-07-16 00:00:00;2015-08-01 00:00:00;2016-03-19 00:00:00;1739;1080249,991;1075016,042;BOYACÁ;TIBANA;SIRAMA;Zen
CONSTRUCCIONES;INIC GEAM;Tres años;2400112;19891957;2018-07-18 00:00:00;2018-07-18 00:00:00;1970-01-01 00:00:00;1739;1080249,991;1075016,042;BOYACÁ;TIBANA;SIRAMA;Zen
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403113;19891943;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00;5015;1085361,561;1078805,086;BOYACÁ;JENESANO;PALENQUE;Zen
