Tipo_aviso;Estado;Prioridad;Incidente;Estructura;Creacion;Inicio;Cierre
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403106;19891934;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403100;19891933;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403100;19891933;2018-06-27 00:00:00;2018-09-15 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403109;19891932;2018-06-27 00:00:00;2018-07-19 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403109;19891932;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403108;19891931;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403108;19891931;2018-06-27 00:00:00;2018-07-29 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403110;19891928;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403110;19891928;2018-06-27 00:00:00;2018-07-19 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404620;19891927;2018-06-16 00:00:00;2018-08-05 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404620;19891927;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404619;19891927;2018-06-16 00:00:00;2018-07-19 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404619;19891927;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404621;19891926;2018-06-16 00:00:00;2018-07-19 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404621;19891926;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404622;19891925;2018-06-16 00:00:00;2018-06-23 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404622;19891925;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404624;19891923;2018-06-16 00:00:00;2018-08-09 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404624;19891923;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404623;19891923;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404623;19891923;2018-06-16 00:00:00;2018-06-29 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404626;19891921;2018-06-16 00:00:00;2018-08-10 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404626;19891921;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404625;19891921;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404625;19891921;2018-06-16 00:00:00;2018-08-01 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404627;19891916;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404627;19891916;2018-06-16 00:00:00;2018-08-09 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404629;19892050;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT GEAM TAMB;Dos años;2404630;19892039;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404631;19892009;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404631;19892009;2018-06-16 00:00:00;2018-08-09 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404632;19892007;2018-06-16 00:00:00;2018-06-17 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404632;19892007;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404633;19892006;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404635;19892005;2018-06-16 00:00:00;2018-06-17 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404635;19892005;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404634;19892005;2018-06-16 00:00:00;2018-06-17 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404634;19892005;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
