Date,Open,High,Low,Close,Adj Close,Volume
2020-06-22,5.210000,5.540000,4.950000,5.250000,5.032124,403900
2020-06-29,5.290000,5.700000,5.190000,5.640000,5.405939,151500
2020-07-06,5.700000,5.900000,5.300000,5.590000,5.358014,106500
2020-07-13,5.520000,5.560000,4.840000,5.140000,4.950301,150800
2020-07-20,5.100000,5.330000,5.010000,5.210000,5.017719,43800
2020-07-27,4.880000,5.320000,4.870000,4.950000,4.767313,78100
2020-08-03,4.990000,5.750000,4.840000,5.420000,5.219968,207200
2020-08-10,5.550000,5.850000,5.500000,5.650000,5.441480,122000
2020-08-17,5.690000,5.720000,5.100000,5.330000,5.133291,93800
2020-08-24,5.300000,5.740000,5.240000,5.630000,5.422219,180700
2020-08-31,5.480000,5.650000,5.310000,5.320000,5.123659,106000
2020-09-07,5.480000,5.480000,5.080000,5.150000,4.959934,59200
2020-09-14,5.190000,5.320000,5.010000,5.280000,5.085136,190700
2020-09-21,5.300000,5.300000,4.980000,5.240000,5.046612,92900
2020-09-28,5.010000,5.450000,5.010000,5.250000,5.056243,267200
2020-10-05,5.300000,5.630000,5.150000,5.540000,5.364039,185600
2020-10-12,5.600000,6.450000,5.300000,5.940000,5.751336,2093800
2020-10-19,6.040000,6.100000,5.280000,5.460000,5.286581,278700
2020-10-26,5.600000,5.600000,4.210000,4.510000,4.366755,738800
2020-11-02,4.650000,5.700000,4.650000,5.320000,5.151027,294000
2020-11-09,5.790000,6.200000,5.400000,6.050000,5.857842,413800
2020-11-16,6.090000,6.470000,5.800000,5.950000,5.761017,482900
2020-11-23,6.030000,6.300000,5.780000,5.800000,5.615782,364800
2020-11-30,5.850000,6.180000,5.790000,6.150000,5.954666,312000
2020-12-07,6.160000,6.200000,5.480000,6.170000,5.974031,509900
2020-12-14,6.400000,7.240000,6.350000,6.870000,6.651796,576900
2020-12-21,6.900000,7.190000,6.750000,7.100000,6.874491,303900
2020-12-28,7.110000,7.330000,6.700000,6.910000,6.690526,280500
2021-01-04,6.930000,7.140000,6.500000,6.890000,6.697953,330000
2021-01-11,6.850000,7.020000,6.700000,6.990000,6.795166,186500
2021-01-18,6.990000,7.510000,6.840000,7.280000,7.077083,390400
2021-01-25,7.290000,7.400000,6.610000,6.790000,6.600741,279200
2021-02-01,6.830000,7.200000,6.800000,7.150000,6.950706,243700
2021-02-08,7.170000,7.350000,6.970000,7.280000,7.077083,216500
2021-02-15,7.260000,7.710000,7.260000,7.330000,7.125689,312500
2021-02-22,7.340000,7.750000,7.250000,7.390000,7.184017,276400
2021-03-01,7.630000,8.840000,7.370000,8.750000,8.506109,882300
2021-03-08,8.660000,9.990000,8.660000,9.950000,9.672661,874900
2021-03-15,9.990000,10.950000,9.710000,10.900000,10.596182,1618500
2021-03-22,11.000000,11.130000,9.850000,11.040000,10.732279,1023900
2021-03-29,11.040000,12.370000,11.030000,12.080000,11.743291,1549900
2021-04-05,11.950000,13.860000,11.920000,13.140000,12.804389,1238500
2021-04-12,13.480000,14.600000,11.510000,12.030000,11.722740,1621700
2021-04-19,12.080000,12.940000,11.500000,12.470000,12.151500,872900
